Charta_Id,Pda_Id,Year,Month,State,State_Pop,State_Threshold,Declaration_Number,County,Met_Threshold,County_Pop,County_Threshold,Applicant_Id,SLTT_Organization_Id,Applicant_Name,Cat_A,Cat_B,Cat_C,Cat_D,Cat_E,Cat_F,Cat_G,Total,Status,Applicant_Type,Comment,Comment_Html,Inspector,Source_File,In_Pa_Pdas,Pa_Pdas_Applicant_Name
2026-May-MI-0011,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,Benzonia Township,,,,,,,7812.0,7812.0,Complete,Municipality,"CAT G: Estimated: $7,812 trail washout Validated: $7,812 with photos and invoices.","CAT G:<b> Estimated: $7,812</b> trail washout <b>Validated: $7,812</b> with photos and invoices.",Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,True,Benzonia Township
2026-May-MI-0012,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,Betsie Valley Trail,,,,,,,,,Complete,County,"CAT G: Estimated: $3,315 trail washout Reduced: $3,315 for not meeting FY26 minimum project threshold of $4,100.Validated: 0","CAT G: <b>Estimated: $3,315</b> trail washout <b>Reduced: $3,315</b> for not meeting FY26 minimum project threshold of $4,100.<b>Validated: 0</b>",Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,True,Betsie Valley Trail
2026-May-MI-0013,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,Homstead Dam - Benzie Labor emergency protective measures,,,,,,,,,Complete,Government,No documents supplied will coordinate with State to submit Sheriff Dept OT.,No documents supplied will coordinate with State to submit Sheriff Dept OT.,Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,True,Homstead Dam - Benzie Labor emergency protective measures
2026-May-MI-0014,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,MDNR - Benzie County,,,,35892.62,,,,35892.62,Complete,Government,"Cat. D: Estimated $35,893 provided photos, cost estimate to document repairs to the aubtements at Homestead Dam in Benzie County. Validated $35,893","Cat. D: <b>Estimated $35,893 </b>provided photos, cost estimate to document repairs to the aubtements at Homestead Dam in Benzie County. <b>Validated $35,893</b>",Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,False,
2026-May-MI-0015,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Benzie,True,17970,87334.2,,,Village of Beulah,,,,,,187982.0,,187982.0,Complete,Municipality,"CAT F: Estimated: $187,982 lift station damaged, emergency pumping and replacement. Validated $187,982 with applicant supplied invoices and summaries. 
CAT C: Estimated $60,000 two roads for resurfacing. Reduced: $60,000 photos identified pre-existing damages. Validated: 0","CAT F: <b>Estimated: $187,982</b> lift station damaged, emergency pumping and replacement. <b>Validated $187,982</b> with applicant supplied invoices and summaries. <br>CAT C: <b>Estimated $60,000 </b>two roads for resurfacing. <b>Reduced: $60,000</b> photos identified pre-existing damages. <b>Validated: 0</b>",Richard Chiarello,Table A - Michigan PDA - May 2026.xlsx,True,Village of Beulah
2026-May-MI-0016,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Charlevoix,True,26054,126622.44,,,Charlevoix County Road Commission,,,190676.5,,,,,190676.5,Complete,Other,"Cat C: Applicant Estimated $208,688 for road wash out from storm.  Reduced $18,011.50. Applicant included mitigation in their cost estimate, mitigation measures may be eligible during a DR but cannot be included a pda.  Validated:$190,676.50 utilizing repair work summary reports and Applicant RFI response for photos of damages to Bergmann and Ridge roads, .","Cat C: Applicant <b>Estimated $208,688</b> for road wash out from storm.  <b>Reduced $18,011.50</b>. Applicant included mitigation in their cost estimate, mitigation measures may be eligible during a DR but cannot be included a pda.<b> </b> <b>Validated:$190,676.50</b> utilizing repair work summary reports and Applicant RFI response for photos of damages to Bergmann and Ridge roads, .",Shawana Thomas,Table A - Michigan PDA - May 2026.xlsx,True,Charlevoix County Road Commission
2026-May-MI-0017,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Charlevoix,True,26054,126622.44,,,City of Charlevoix,,,,,,,,,Complete,City,"Cat F: Estimated $2,168.96 for a wastewater lift station that was overwhelmed with ground water. Applicant requested reimbursement for OT and Equipment. Reduced: $2,168.96 for not meeting FY26 minimum threshold of $4,100.","Cat F: Estimated $2,168.96 for a wastewater lift station that was overwhelmed with ground water. Applicant requested reimbursement for OT and Equipment. <b>Reduced: $2,168.96</b> for not meeting FY26 minimum threshold of $4,100.",Shawana Thomas,Table A - Michigan PDA - May 2026.xlsx,True,City of Charlevoix
2026-May-MI-0018,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Charlevoix,True,26054,126622.44,,,City of East Jordan,,,,,,7936.0,,7936.0,Complete,City,"Cat F: Estimated $7,936 for water main damage caused by washout of culvert due to flooding from an adjacent stream. Validated: $7,936 utilizing Applicant provided invoice and photos.","<b>Cat F: Estimated $7,936</b> for water main damage caused by washout of culvert due to flooding from an adjacent stream. <b>Validated: $7,936</b> utilizing Applicant provided invoice and photos.",Shawana Thomas,Table A - Michigan PDA - May 2026.xlsx,True,"East Jordan, City of"
2026-May-MI-0019,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Charlevoix,True,26054,126622.44,,,St. James Township,,,,26145.0,,,,26145.0,Complete,Government,"Cat D: Applicant Estimated: $100,000.00 for slope repair along a natural shoreline Reduced: $100,000"" If a landslide or other slope instability is triggered by the incident and poses an immediate threat to life, public health and safety, or improved public or private property, emergency protective measures to stabilize the slope is eligible."" This is a natural shoreline there is no threat to improved property.  Validated: $0","Cat D: Applicant <b>Estimated: $100,000.00</b> for slope repair along a natural shoreline <b>Reduced: $100,000</b>&quot; If a landslide or other slope instability is triggered by the incident and poses an immediate threat to life, public health and safety, or improved public or private property, emergency protective measures to stabilize the slope is eligible.&quot; This is a natural shoreline there is no threat to improved property.  <b>Validated: $0</b>",Shawana Thomas,Table A - Michigan PDA - May 2026.xlsx,True,St. James Township
2026-May-MI-0020,2026-May-MI,2026,May,MI,10077331,19550022.14,4925,Cheboygan,True,25579,124313.94,,,Cheboygan County Road Commission,,31621.0,905964.0,,,,,937585.0,Complete,County,"Cat B: Estimated: $0 for road buildup to allow emergency vehicals to assist in sandbagging activities nearby a dam. Validated: $31,621 using applicant provided invoices, photos, and cost estimates. 
CAT C: Estimated: $1,558,615.30 For road washouts, culvert displacements, loss of rip rap at culverts and bridges, loss of surface gravel, grading gravel roads, resurfacing of roads. Reduced: $652,651.30 for FHWA roads and bridges, not in-kind replacements, and mitigation costs. Validated: $905,964 using applicant provided invoices, photos, cost estimates, and a representative sample of damaged roads.","<b>Cat B: Estimated: $0</b> for road buildup to allow emergency vehicals to assist in sandbagging activities nearby a dam. <b>Validated: $31,621</b> using applicant provided invoices, photos, and cost estimates. <b><br>CAT C: Estimated: $1,558,615.30</b> For road washouts, culvert displacements, loss of rip rap at culverts and bridges, loss of surface gravel, grading gravel roads, resurfacing of roads. <b>Reduced: $652,651.30 </b>for FHWA roads and bridges, not in-kind replacements, and mitigation costs. <b>Validated: $905,964</b> using applicant provided invoices, photos, cost estimates, and a representative sample of damaged roads.",Connor Blevins,Table A - Michigan PDA - May 2026.xlsx,True,Cheboygan County Road Commission
