Year,Month,State,State_Pop, State_Threshold,Declaration_Number,County,Met_Threshold,County_Pop, County_Threshold ,Applicant_Id,SLTT_Organization_Id,Applicant_Name,Cat_A,Cat_B,Cat_C,Cat_D,Cat_E,Cat_F,Cat_G,Total
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,North Shore Fire,null,null,null,null,24141.74,null,null,24141.74
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,Oak Creek,7670.8,4418.55,null,null,null,null,null,12089.35
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,River Hills,4924.85,null,805208.09,null,5572.51,4370.58,null,820076.03
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,Shorewood,14102.7,null,null,null,null,null,10000,24102.7
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,South Milwaukee,10000,null,null,null,7500,null,null,17500
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,Wauwatosa,436474.29,34087.22,245102.5,184896.8,294230,null,1764049,2958839.81
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,Wauwatosa School District,null,null,null,null,120333.11,null,null,120333.11
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,West Allis,587961.81,43096.3,13101.24,null,41338.24,null,null,685497.59
2025,September,WI,5893718,11139127,null,Milwaukee,true,939489,4434388.08,null,null,Whitefish Bay,37802.75,null,null,null,48411.45,null,18167.54,104381.74
2025,September,WI,5893718,11139127,null,Ozaukee,true,91503,431894.16,null,null,"Cedarburg, Town of",null,null,16328,null,null,null,null,16328
2025,September,WI,5893718,11139127,null,Ozaukee,true,91503,431894.16,null,null,"Grafton, Village of",10095,11108,null,15400,null,null,null,36603
2025,September,WI,5893718,11139127,null,Ozaukee,true,91503,431894.16,null,null,"Mequon, City of",69018,null,85933,null,5000,null,null,159951
2025,September,WI,5893718,11139127,null,Ozaukee,true,91503,431894.16,null,null,Ozaukee County,57780,4114,87480,null,25000,null,33820,208194
2025,September,WI,5893718,11139127,null,Ozaukee,true,91503,431894.16,null,null,"Port Washington, City of",10785,null,39865,null,null,null,null,50650
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Barton, Town of",null,null,39500,null,null,null,null,39500
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Farmington, Town of",null,null,375000,null,null,null,null,375000
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Germantown, Town of",null,null,4908.72,null,null,null,null,4908.72
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Germantown, Village of",149445.09,15996.41,115303,18500,null,null,null,299244.5
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Hartford, City of",null,null,null,null,null,21694.8,null,21694.8
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"Richfield, Village of",7946,8604.83,12459,null,null,null,null,29009.83
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,St. John's Church - West Band,null,null,null,null,24278.52,null,null,24278.52
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,Washington County,6567.22,5496.85,84696.12,null,null,null,null,96760.19
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,West Bend School District ,null,null,null,null,42163,null,21000,63163
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"West Bend, City of",10428,22421,28122,null,null,null,30322,91293
2025,September,WI,5893718,11139127,null,Washington,true,136761,645511.92,null,null,"West Bend, Town of",null,null,4836.12,null,null,null,null,4836.12
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Brookfield, City of",221659,null,24000,null,null,null,null,245659
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Brookfield, Town of",null,null,null,null,null,null,8903,8903
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Butler, Village of",20980,null,null,null,null,null,67741,88721
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Delafield, City of",null,22453,null,null,null,null,null,22453
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Elm Grove, Village of",null,null,62047,null,null,null,29050,91097
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Genesee, Town of",null,null,null,null,null,null,null,0
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Hartland, Village of",null,null,null,23897,null,null,null,23897
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Menomonee Falls, Village of",null,null,313059,null,19427,12310,11885,356681
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Merton, Village of",null,null,null,130000,null,null,null,130000
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Muskego, City of ",65689,16213,278202,null,null,140754,28334,529192
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"New Berlin, City of",48822,21530,107446,22152,16827,null,null,216777
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Pewaukee, Village of",null,null,null,null,null,null,null,0
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Summit, Village of",12245,null,null,null,null,null,null,12245
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,Waukesha County,null,null,299854,null,null,null,18160,318014
2025,September,WI,5893718,11139127,null,Waukesha,true,406978,1920936.16,null,null,"Waukesha, City of ",10666,null,4867,null,null,null,130684,146217
2025,April,MI,10077413,19046310.57,4880,Emmet,true,34112,150092.8,null,null,911 Central Dispatch Authority ,  ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077475,19046427.75,4880,Presque Isle,true,12982,57120.8,null,null,Bearinger Township,5000,  ,  ,  ,  ,  ,  ,5000
2025,April,MI,10077362,19046214.18,4880,Charlevoix,true,26054,114637.6,null,null,Beaver Island - Emergency Services Authority,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077363,19046216.07,4880,Charlevoix,true,26054,114637.6,null,null,Beaver Island - Peaine Twp,4060,  ,  ,  ,  ,  ,  ,4060
2025,April,MI,10077414,19046312.46,4880,Emmet,true,34112,150092.8,null,null,Center Township ,  ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077336,19046165.04,4880,Alcona,true,10167,44734.8,255327,85383,Alcona County Road Commission,297000,  ,  ,  ,  ,  ,  ,297000
2025,April,MI,10077337,19046166.93,4880,Alcona,true,10167,44734.8,255323,37013,Alcona County  ,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077338,19046168.82,4880,Alcona,true,10167,44734.8,255707,117582,Caledonia Township,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077481,19046439.09,4880,Presque Isle,true,12982,57120.8,null,null,Cheyboygan Life,  ,20041,  ,  ,  ,  ,  ,20041
2025,April,MI,10077340,19046172.6,4880,Alcona,true,10167,44734.8,255697,117578,Village of Lincoln,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077427,19046337.03,4880,Luce,true,5339,23491.6,null,null,Cloverland Electric - Luce,        ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077342,19046176.38,4880,Alpena,true,28907,127190.8,255348,31270,Alpena County,484493,8268,  ,  ,7440,  ,  ,500201
2025,April,MI,10077343,19046178.27,4880,Alpena,true,28907,127190.8,255448,117502,City of Alpena,134213,39568,  ,  ,  ,  ,  ,173781
2025,April,MI,10077493,19046461.77,4880,Schoolcraft,true,8047,35406.8,null,null,Cloverland Electric - Schoolcraft,  ,  ,  ,  ,  ,17777,  ,17777
2025,April,MI,10077428,19046338.92,4880,Mackinac,true,10834,47669.6,null,null,Cloverland Electrical Cooperative,  ,  ,  ,  ,  ,993460,  ,993460
2025,April,MI,10077352,19046195.28,4880,Antrim,true,23431,103096.4,null,null,County Sheriff's Office,  ,  ,  ,  ,7730,  ,  ,7730
2025,April,MI,10077381,19046250.09,4880,Charlevoix,true,26054,114637.6,255073,46839,Michigan Department of Military & Veterans Affairs,  ,227,  ,  ,  ,  ,  ,226
2025,April,MI,10077420,19046323.8,4880,Emmet,true,34112,150092.8,255073,46839,Michigan Department of Military & Veterans Affairs,  ,19892,  ,  ,  ,  ,  ,19891
2025,April,MI,10077471,19046420.19,4880,Otsego,true,25091,110400.4,255073,46839,Michigan Department of Military & Veterans Affairs,189511,43071,  ,  ,  ,  ,  ,232580
2025,April,MI,10077350,19046191.5,4880,Antrim,true,23431,103096.4,255073,46839,Michigan Department of Military & Veterans Affairs,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077351,19046193.39,4880,Antrim,true,23431,103096.4,255073,46839,Michigan Department of Military & Veterans Affairs,631941,  ,  ,  ,  ,  ,  ,631941
2025,April,MI,10077335,19046163.15,4880,Alcona,true,10167,44734.8,255073,46839,Michigan Department of Military & Veterans Affairs,2720,  ,  ,  ,  ,  ,  ,2720
2025,April,MI,10077348,19046187.72,4880,Alpena,true,28907,127190.8,255073,46839,Michigan Department of Military & Veterans Affairs,45904,72313,  ,  ,  ,  ,  ,118217
2025,April,MI,10077360,19046210.4,4880,Antrim,true,23431,103096.4,255073,46839,Michigan Department of Military & Veterans Affairs,3400,1133,  ,  ,  ,  ,  ,4533
2025,April,MI,10077392,19046270.88,4880,Cheboygan,true,25579,112547.6,255073,46839,Michigan Department of Military & Veterans Affairs,757249,41484,  ,  ,  ,  ,  ,798731
2025,April,MI,10077436,19046354.04,4880,Mackinac,true,10834,47669.6,255073,46839,Michigan Department of Military & Veterans Affairs,13601,  ,  ,  ,  ,  ,  ,13601
2025,April,MI,10077449,19046378.61,4880,Montmorency,true,9153,40273.2,255073,46839,Michigan Department of Military & Veterans Affairs,91808,283246,  ,  ,  ,  ,  ,375053
2025,April,MI,10077462,19046403.18,4880,Oscoda,true,8219,36163.6,255073,46839,Michigan Department of Military & Veterans Affairs,  ,81607,  ,  ,  ,  ,  ,81607
2025,April,MI,10077491,19046457.99,4880,Presque Isle,true,12982,57120.8,255073,46839,Michigan Department of Military & Veterans Affairs,  ,115611,  ,  ,  ,  ,  ,115610
2025,April,MI,10077478,19046433.42,4880,Presque Isle,true,12982,57120.8,null,null,East Grand Lake ,  ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077440,19046361.6,4880,Montmorency,true,9153,40273.2,null,null,Great Lakes Energy Co-op,  ,  ,  ,  ,  ,910963,  ,910962
2025,April,MI,10077465,19046408.85,4880,Otsego,true,25091,110400.4,null,null,Great Lakes Energy Co-op,  ,  ,  ,  ,  ,23588947,  ,23588947
2025,April,MI,10077356,19046202.84,4880,Antrim,true,23431,103096.4,null,null,Great Lakes Energy Co-op - Antrim,  ,  ,  ,  ,  ,1073515,  ,1073515
2025,April,MI,10077364,19046217.96,4880,Charlevoix,true,26054,114637.6,255341,37127,"Boyne City, City of",6067,7658,  ,  ,  ,  ,  ,13725
2025,April,MI,10077365,19046219.85,4880,Charlevoix,true,26054,114637.6,255218,35265,"Charlevoix, City of",126624,28795,  ,  ,  ,57469,  ,212888
2025,April,MI,10077366,19046221.74,4880,Charlevoix,true,26054,114637.6,255221,32135,Charlevoix County,  ,7391,  ,  ,  ,  ,  ,7391
2025,April,MI,10077367,19046223.63,4880,Charlevoix,true,26054,114637.6,255324,117451,Charlevoix County Road Commission,1282201,  ,  ,  ,  ,  ,  ,1282201
2025,April,MI,10077368,19046225.52,4880,Charlevoix,true,26054,114637.6,255642,117558,Charlevoix Township,36200,  ,  ,  ,  ,72300,  ,108500
2025,April,MI,10077369,19046227.41,4880,Charlevoix,true,26054,114637.6,255320,34226,"East Jordan, City of",11530,4954,  ,  ,48000,  ,  ,64484
2025,April,MI,10077370,19046229.3,4880,Charlevoix,true,26054,114637.6,255382,117481,Evangeline Township,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077371,19046231.19,4880,Charlevoix,true,26054,114637.6,255434,117499,Hayes Township,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077372,19046233.08,4880,Charlevoix,true,26054,114637.6,255445,117500,Lake Charlevoix EMS Authority,  ,38392,  ,  ,7994,  ,  ,46386
2025,April,MI,10077386,19046259.54,4880,Cheboygan,true,25579,112547.6,null,null,Great Lakes Energy Co-Op - Cheboygan,  ,  ,  ,  ,  ,886399,  ,886399
2025,April,MI,10077374,19046236.86,4880,Charlevoix,true,26054,114637.6,255317,117447,Melrose Township,6730,4715,  ,  ,  ,        ,  ,11445
2025,April,MI,10077396,19046278.44,4880,Crawford,true,12988,57147.2,null,null,Great Lakes Energy Co-op - Crawford,  ,  ,  ,  ,  ,1460813,  ,1460813
2025,April,MI,10077405,19046295.45,4880,Emmet,true,34112,150092.8,null,null,Great Lakes Energy Co-op - Emmet,  ,  ,  ,  ,  ,9682227,  ,9682227
2025,April,MI,10077377,19046242.53,4880,Charlevoix,true,26054,114637.6,255306,85282,Great Lakes Energy Cooperative,  ,  ,  ,  ,  ,5018543,  ,5018543
2025,April,MI,10077425,19046333.25,4880,Kalkaska,true,17939,78931.6,null,null,Great Lakes Energy Co-Op - Kalkaska,  ,  ,  ,  ,  ,1286177,  ,1286177
2025,April,MI,10077451,19046382.39,4880,Oscoda,true,8219,36163.6,null,null,Great Lakes Energy Co-Op - Oscoda,  ,  ,  ,  ,  ,834623,  ,834623
2025,April,MI,10077422,19046327.58,4880,Emmet,true,34112,150092.8,null,null,Harbor Springs Sewer Authority,  ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077432,19046346.48,4880,Mackinac,true,10834,47669.6,null,null,Mackinac County 911 and Emergency Management,  ,25339,  ,  ,  ,  ,  ,25339
2025,April,MI,10077433,19046348.37,4880,Mackinac,true,10834,47669.6,null,null,Mackinac County Road Commission,77250,  ,  ,  ,  ,  ,  ,77250
2025,April,MI,10077384,19046255.76,4880,Cheboygan,true,25579,112547.6,255189,32107,Cheboygan County,361200,43783,  ,  ,  ,  ,  ,404982
2025,April,MI,10077383,19046253.87,4880,Cheboygan,true,25579,112547.6,255201,117437,Cheboygan County Road Commission,1326762,  ,  ,  ,  ,  ,  ,1326761
2025,April,MI,10077385,19046257.65,4880,Cheboygan,true,25579,112547.6,255338,117472,City of Cheboygan,24560,  ,  ,  ,  ,  ,  ,24560
2025,April,MI,10077353,19046197.17,4880,Antrim,true,23431,103096.4,null,null,Mancelona Twp,  ,5785,  ,  ,  ,  ,  ,5785
2025,April,MI,10077354,19046199.06,4880,Antrim,true,23431,103096.4,null,null,Mancelona Water,  ,  ,  ,  ,  ,  ,  ,null
2025,April,MI,10077391,19046268.99,4880,Cheboygan,true,25579,112547.6,255367,117470,Joint Administrative Fire Board Inverness Fire Department,36138,  ,  ,  ,  ,  ,  ,36138
2025,April,MI,10077373,19046234.97,4880,Charlevoix,true,26054,114637.6,null,null,Marion Twp,4700,  ,  ,  ,  ,  ,  ,4700
2025,April,MI,10077380,19046248.2,4880,Charlevoix,true,26054,114637.6,255265,9419,Michigan Department of Natural Resources,520844,  ,  ,  ,  ,  ,  ,520843
2025,April,MI,10077418,19046320.02,4880,Emmet,true,34112,150092.8,255265,9419,Michigan Department of Natural Resources,999254,  ,  ,  ,17550,  ,  ,1016803
2025,April,MI,10077470,19046418.3,4880,Otsego,true,25091,110400.4,255265,9419,Michigan Department of Natural Resources,1524008,  ,  ,  ,31232,  ,  ,1555240
2025,April,MI,10077334,19046161.26,4880,Alcona,true,10167,44734.8,255265,9419,Michigan Department of Natural Resources,246983,  ,  ,  ,  ,  ,  ,246983
2025,April,MI,10077394,19046274.66,4880,Chippewa,true,36785,161854,255265,9419,Michigan Department of Natural Resources,  ,  ,  ,  ,  ,17777,  ,17777
2025,April,MI,10077402,19046289.78,4880,Crawford,true,12988,57147.2,255265,9419,Michigan Department of Natural Resources,26717,  ,  ,  ,  ,  ,  ,26717
2025,April,MI,10077397,19046280.33,4880,Crawford,true,12988,57147.2,255265,9419,Michigan Department of Natural Resources,154434,  ,  ,  ,  ,  ,  ,154434
2025,April,MI,10077399,19046284.11,4880,Crawford,true,12988,57147.2,255265,9419,Michigan Department of Natural Resources,34624,  ,  ,  ,  ,  ,  ,34624
2025,April,MI,10077347,19046185.83,4880,Alpena,true,28907,127190.8,255265,9419,Michigan Department of Natural Resources,582203,  ,  ,  ,  ,  ,  ,582203
2025,April,MI,10077359,19046208.51,4880,Antrim,true,23431,103096.4,255265,9419,Michigan Department of Natural Resources,496651,  ,  ,  ,  ,  ,  ,496651
2025,April,MI,10077390,19046267.1,4880,Cheboygan,true,25579,112547.6,255265,9419,Michigan Department of Natural Resources,2388881,  ,  ,  ,3998,  ,  ,2392879
2025,April,MI,10077401,19046287.89,4880,Crawford,true,12988,57147.2,255265,9419,Michigan Department of Natural Resources,2285208,  ,  ,  ,  ,  ,  ,2285208
2025,April,MI,10077398,19046282.22,4880,Crawford,true,12988,57147.2,255265,9419,Michigan Department of Natural Resources,17940,  ,  ,  ,  ,  ,  ,17939
2025,April,MI,10077435,19046352.15,4880,Mackinac,true,10834,47669.6,255265,9419,Michigan Department of Natural Resources,1163340,  ,  ,  ,  ,  ,  ,1163340
2025,April,MI,10077448,19046376.72,4880,Montmorency,true,9153,40273.2,255265,9419,Michigan Department of Natural Resources,2048254,  ,  ,  ,14370,  ,  ,2062624
2025,April,MI,10077411,19046306.79,4880,Emmet,true,34112,150092.8,255265,9419,Michigan Department of Natural Resources,  ,  ,  ,  ,  ,  ,  ,          
2025,April,MI,10077415,19046314.35,4880,Emmet,true,34112,150092.8,255265,9419,Michigan Department of Natural Resources,  ,173595,  ,  ,  ,  ,  ,173594
2025,April,MI,10077461,19046401.29,4880,Oscoda,true,8219,36163.6,255265,9419,Michigan Department of Natural Resources,1283877,  ,  ,  ,432,  ,  ,1284309
2025,April,MI,10077489,19046454.21,4880,Presque Isle,true,12982,57120.8,255265,9419,Michigan Department of Natural Resources,1184397,  ,  ,  ,  ,  ,  ,1184397
2025,April,MI,10077408,19046301.12,4880,Emmet,true,34112,150092.8,255175,34245,County of Emmet,292156,91498,  ,  ,  ,  ,  ,383653
2025,April,MI,10077424,19046331.36,4880,Emmet,true,34112,150092.8,255300,117460,Emmet County Road Commission,1050331,  ,  ,  ,  ,  ,  ,1050331
2025,April,MI,10077379,19046246.31,4880,Charlevoix,true,26054,114637.6,255343,9422,MIchigan Department of Technology/Management & Budget,50260,  ,  ,  ,  ,  ,  ,50260
