county,event_id,applicant,applicant_type,status_raw,status_norm,cat_a,cat_b,cat_c,cat_d,cat_e,cat_f,cat_g,total_calc,wb_row_total,comment,comment_html
Benzie,E1,Benzonia Township,Municipality,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,7812.0,7812.0,7812.0,"CAT G: Estimated: $7,812 trail washout Validated: $7,812 with photos and invoices.","CAT G:<b> Estimated: $7,812</b> trail washout <b>Validated: $7,812</b> with photos and invoices."
Benzie,E1,Betsie Valley Trail,County,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"CAT G: Estimated: $3,315 trail washout Reduced: $3,315 for not meeting FY26 minimum project threshold of $4,100.Validated: 0","CAT G: <b>Estimated: $3,315</b> trail washout <b>Reduced: $3,315</b> for not meeting FY26 minimum project threshold of $4,100.<b>Validated: 0</b>"
Benzie,E1,Homstead Dam - Benzie Labor emergency protective measures,Government,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No documents supplied will coordinate with State to submit Sheriff Dept OT.,No documents supplied will coordinate with State to submit Sheriff Dept OT.
Benzie,E1,Village of Beulah,Municipality,Complete,complete,0.0,0.0,0.0,0.0,0.0,187982.0,0.0,187982.0,187982.0,"CAT F: Estimated: $187,982 lift station damaged, emergency pumping and replacement. Validated $187,982 with applicant supplied invoices and summaries. 
CAT C: Estimated $60,000 two roads for resurfacing. Reduced: $60,000 photos identified pre-existing damages. Validated: 0","CAT F: <b>Estimated: $187,982</b> lift station damaged, emergency pumping and replacement. <b>Validated $187,982</b> with applicant supplied invoices and summaries. <br>CAT C: <b>Estimated $60,000 </b>two roads for resurfacing. <b>Reduced: $60,000</b> photos identified pre-existing damages. <b>Validated: 0</b>"
Benzie,E1,MDNR- Benzie County,Government,Complete,complete,0.0,0.0,0.0,35892.619999999995,0.0,0.0,0.0,35892.62,35892.619999999995,"Cat. D: Estimated $35,893 provided photos, cost estimate to document repairs to the aubtements at Homestead Dam in Benzie County. Validated $35,893","Cat. D: <b>Estimated $35,893 </b>provided photos, cost estimate to document repairs to the aubtements at Homestead Dam in Benzie County. <b>Validated $35,893</b>"
Charlevoix,E1,Charlevoix County Road Commission,Other,Complete,complete,0.0,0.0,190676.5,0.0,0.0,0.0,0.0,190676.5,190676.5,"Cat C: Applicant Estimated $208,688 for road wash out from storm.  Reduced $18,011.50. Applicant included mitigation in their cost estimate, mitigation measures may be eligible during a DR but cannot be included a pda.  Validated:$190,676.50 utilizing repair work summary reports and Applicant RFI response for photos of damages to Bergmann and Ridge roads, .","Cat C: Applicant <b>Estimated $208,688</b> for road wash out from storm.  <b>Reduced $18,011.50</b>. Applicant included mitigation in their cost estimate, mitigation measures may be eligible during a DR but cannot be included a pda.<b> </b> <b>Validated:$190,676.50</b> utilizing repair work summary reports and Applicant RFI response for photos of damages to Bergmann and Ridge roads, ."
Charlevoix,E1,City of Charlevoix,City,Complete,complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cat F: Estimated $2,168.96 for a wastewater lift station that was overwhelmed with ground water. Applicant requested reimbursement for OT and Equipment. Reduced: $2,168.96 for not meeting FY26 minimum threshold of $4,100.","Cat F: Estimated $2,168.96 for a wastewater lift station that was overwhelmed with ground water. Applicant requested reimbursement for OT and Equipment. <b>Reduced: $2,168.96</b> for not meeting FY26 minimum threshold of $4,100."
Charlevoix,E1,City of East Jordan,City,Complete,complete,0.0,0.0,0.0,0.0,0.0,7936.0,0.0,7936.0,7936.0,"Cat F: Estimated $7,936 for water main damage caused by washout of culvert due to flooding from an adjacent stream. Validated: $7,936 utilizing Applicant provided invoice and photos.","<b>Cat F: Estimated $7,936</b> for water main damage caused by washout of culvert due to flooding from an adjacent stream. <b>Validated: $7,936</b> utilizing Applicant provided invoice and photos."
Charlevoix,E1,St. James Township,Government,Complete,complete,0.0,0.0,0.0,26145.0,0.0,0.0,0.0,26145.0,26145.0,"Cat D: Applicant Estimated: $100,000.00 for slope repair along a natural shoreline Reduced: $100,000"" If a landslide or other slope instability is triggered by the incident and poses an immediate threat to life, public health and safety, or improved public or private property, emergency protective measures to stabilize the slope is eligible."" This is a natural shoreline there is no threat to improved property.  Validated: $0","Cat D: Applicant <b>Estimated: $100,000.00</b> for slope repair along a natural shoreline <b>Reduced: $100,000</b>&quot; If a landslide or other slope instability is triggered by the incident and poses an immediate threat to life, public health and safety, or improved public or private property, emergency protective measures to stabilize the slope is eligible.&quot; This is a natural shoreline there is no threat to improved property.  <b>Validated: $0</b>"
Cheboygan,E1,Cheboygan County Road Commission,County,Complete,complete,0.0,31621.0,905964.0,0.0,0.0,0.0,0.0,937585.0,937585.0,"Cat B: Estimated: $0 for road buildup to allow emergency vehicals to assist in sandbagging activities nearby a dam. Validated: $31,621 using applicant provided invoices, photos, and cost estimates. 
CAT C: Estimated: $1,558,615.30 For road washouts, culvert displacements, loss of rip rap at culverts and bridges, loss of surface gravel, grading gravel roads, resurfacing of roads. Reduced: $652,651.30 for FHWA roads and bridges, not in-kind replacements, and mitigation costs. Validated: $905,964 using applicant provided invoices, photos, cost estimates, and a representative sample of damaged roads.","<b>Cat B: Estimated: $0</b> for road buildup to allow emergency vehicals to assist in sandbagging activities nearby a dam. <b>Validated: $31,621</b> using applicant provided invoices, photos, and cost estimates. <b><br>CAT C: Estimated: $1,558,615.30</b> For road washouts, culvert displacements, loss of rip rap at culverts and bridges, loss of surface gravel, grading gravel roads, resurfacing of roads. <b>Reduced: $652,651.30 </b>for FHWA roads and bridges, not in-kind replacements, and mitigation costs. <b>Validated: $905,964</b> using applicant provided invoices, photos, cost estimates, and a representative sample of damaged roads."
